smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
O=c1[nH]c2cc3c(cc2cc1CN(CCCO)Cc1nnnn1Cc1ccc(F)cc1)OCO3,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C23H23FN6O4/c24-18-4-2-15(3-5-18)11-30-22(26-27-28-30)13-29(6-1-7-31)12-17-8-16-9-20-21(34-14-33-20)10-19(16)25-23(17)32/h2-5,8-10,31H,1,6-7,11-14H2,(H,25,32)",1,0,train
CCN1C(=O)/C(=C2\SC(=S)N(CCCOC)C2=O)c2ccccc21,True,"Aliphatic long chain, Michael acceptor, Thiocarbonyl group",3,"InChI=1S/C17H18N2O3S2/c1-3-18-12-8-5-4-7-11(12)13(15(18)20)14-16(21)19(17(23)24-14)9-6-10-22-2/h4-5,7-8H,3,6,9-10H2,1-2H3/b14-13-",1,1,train
Clc1ccccc1-c1n[nH]c(-c2ccccc2)n1,True,(),0,"InChI=1S/C14H10ClN3/c15-12-9-5-4-8-11(12)14-16-13(17-18-14)10-6-2-1-3-7-10/h1-9H,(H,16,17,18)",1,2,train
COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1,True,(),0,"InChI=1S/C16H16N6O2/c1-24-14-5-3-2-4-13(14)10-18-15(23)11-22-20-16(19-21-22)12-6-8-17-9-7-12/h2-9H,10-11H2,1H3,(H,18,23)",1,3,train
N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H22Cl2N4O2.BrH/c22-16-6-5-15(13-17(16)23)20(28)14-27-19-4-2-1-3-18(19)26(21(27)24)8-7-25-9-11-29-12-10-25;/h1-6,13,24H,7-12,14H2;1H",1,4,train
COc1ccc(C(=O)C2C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,True,"beta-keto/anhydride, diketo group",2,"InChI=1S/C23H23NO7/c1-30-16-9-5-14(6-10-16)20-19(21(27)15-7-11-17(31-2)12-8-15)22(28)23(29)24(20)13-3-4-18(25)26/h5-12,20,27H,3-4,13H2,1-2H3,(H,25,26)/b21-19-",0,5,train
COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H14N2O3S/c1-21-13-6-2-5-11-14(13)17-9-12(15(11)19)16(20)18-8-10-4-3-7-22-10/h2-7,9H,8H2,1H3,(H,17,19)(H,18,20)",1,6,train
CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,True,(),0,"InChI=1S/C22H30N4O3S/c1-22(2,3)23-20(27)13-30-21-25-24-19(26(21)16-7-5-4-6-8-16)12-15-9-10-17-18(11-15)29-14-28-17/h9-11,16H,4-8,12-14H2,1-3H3,(H,23,27)",0,7,train
O=C(CSc1nnc2c(n1)[nH]c1ccc(F)cc12)OCc1ccccc1,True,(),0,"InChI=1S/C18H13FN4O2S/c19-12-6-7-14-13(8-12)16-17(20-14)21-18(23-22-16)26-10-15(24)25-9-11-4-2-1-3-5-11/h1-8H,9-10H2,(H,20,21,23)",1,8,train
CCOC(=O)CSC1=C(C#N)C(C)C2C(=O)CCCC2=N1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C15H18N2O3S/c1-3-20-13(19)8-21-15-10(7-16)9(2)14-11(17-15)5-4-6-12(14)18/h9,17H,3-6,8H2,1-2H3",1,9,train
